,Modelo,Alcance del modelo,Variable Objetivo,Cantidad de Observaciones,R2,Intercepto,Alpha del modelo,l1_ratio
0,Regresion Lineal,Nacional,Precio_Dolares,65474,0.5992405833213271,10442.482461870997,,
1,Regresion Lineal,Nacional,Precio_m2_Dls,47501,0.5986858105824328,453.6718199203351,,
2,Regresion Lineal Ridge,Nacional,Precio_Dolares,65474,0.5988589316822037,191657.77238102024,11.200000000000001,
3,Regresion Lineal Ridge,Nacional,Precio_m2_Dls,47501,0.6007747101690142,1958.659124290539,100.0,
4,Regresion Lineal Lasso,Nacional,Precio_Dolares,65474,0.5990231831722954,191657.77238102024,100.0,
5,Regresion Lineal Lasso,Nacional,Precio_m2_Dls,47501,0.6008380750304019,1958.659124290539,0.1,
6,Elastic Net,Nacional,Precio_Dolares,65474,0.5990741635847627,191657.77238102024,135.7696116419318,1.0
7,Elastic Net,Nacional,Precio_m2_Dls,47501,0.5932213724205312,1958.659124290539,10.0,1.0
8,Regresion Lineal,Capital Federal,Precio_Dolares,21240,0.5887793700094165,70575.20985352,,
9,Regresion Lineal,Capital Federal,Precio_m2_Dls,17077,0.4939090135025794,1226.1878841535731,,
10,Regresion Lineal Ridge,Capital Federal,Precio_Dolares,21240,0.5886948295901331,207181.0663988282,55.60000000000001,
11,Regresion Lineal Ridge,Capital Federal,Precio_m2_Dls,17077,0.4937366838481044,2618.2493612222056,33.400000000000006,
12,Regresion Lineal Lasso,Capital Federal,Precio_Dolares,21240,0.5888192479365155,207181.0663988282,100.0,
13,Regresion Lineal Lasso,Capital Federal,Precio_m2_Dls,17077,0.6008380750304019,1958.659124290539,0.1,
14,Elastic Net,Capital Federal,Precio_Dolares,21240,0.5888195288486628,207181.0663988282,100.63285565757714,1.0
15,Elastic Net,Capital Federal,Precio_m2_Dls,17077,0.4906324165719728,2618.2493612222056,10.0,1.0
16,Regresion Lineal,Zona Norte,Precio_Dolares,14930,0.6484714167050782,87208.32098979902,,
17,Regresion Lineal,Zona Norte,Precio_m2_Dls,10966,0.5905925819791575,521.2547041122968,,
18,Regresion Lineal,NOA,Precio_Dolares,171,0.3810446297986584,150671.70352950558,,
19,Regresion Lineal,NOA,Precio_m2_Dls,171,0.01138230180119959,737.1656399058365,,
20,Regresion Lineal,NEA,Precio_Dolares,540,0.5536738219795687,-4091.726209853019,,
21,Regresion Lineal,NEA,Precio_m2_Dls,402,0.6367650017727342,757.2959338795316,,
22,Regresion Lineal,Cuyo,Precio_Dolares,362,0.5707866187024178,267615.8544613271,,
23,Regresion Lineal,Cuyo,Precio_m2_Dls,252,0.06744549661866273,641.9299573980646,,
24,Regresion Lineal,Patagonia,Precio_Dolares,620,0.5061442160283882,-32783.70603662601,,
25,Regresion Lineal,Patagonia,Precio_m2_Dls,470,0.031377825986014574,821.1437916861648,,
